     336  ! number of records (species) in the file
GDO3002   213.73
GAO3002   240.24
GGO3002   260.81
GPO3002   379.66
GND3005   351.93
GAN3006   366.95
GGN3006   379.66
GPN3005   498.37
GNN4008   403.42
GHN400E   320.32
GND4007   357.37
GHD3005   240.24
GAH3008   260.81
GGH3005   277.62
GPH3006   390.66
GOO2000   163.06
GNO2000   337.54
GHO2000   204.45
GDO3001   176.35
GAO3001   213.73
GGO3001   240.24
GPO3000   366.95
GHK4008   241.40
GDK4004   220.31
GDO2000   173.95
GAO2000   215.33
GGO2000   244.69
GPO2000   481.20
GAK4005   263.81
GGK4005   279.34
GPK4005   376.28
GNK400A   310.18
GNN4006   403.42
GHN400D   320.32
GND4006   357.37
GAN4006   367.50
GGN4006   376.28
GPN4004   474.94
GAH4008   279.34
GGH4008   292.47
GPH4008   384.02
GKO3001   213.73
GNK3001   351.93
GHK3001   240.24
GNK4005   298.20
GHK4007   241.40
GDK4006   220.31
GAK4001   244.81
GGK4001   263.81
GPK4001   367.50
GDK3001   221.06
GAK3001   247.57
GGK3001   268.14
GPK3001   463.37
GKK4002   244.81
GNK4009   357.37
GHK400A   263.81
GDK4007   249.62
GAK4004   268.62
GGK4004   284.15
GPK4004   447.91
GND3003   351.93
GGN3004   379.66
GPN3006   498.37
GNN4009   403.42
GNN3001   477.66
GGN3002   498.37
GPN3004   597.99
GHN4008   411.16
GNN4005   460.27
GHN3001   366.95
GGH3002   390.66
GPH3003   507.05
GHN2000   361.16
GND3002   333.54
GGN3001   366.95
GPN3000   488.66
GNN4002   394.64
GHN4004   310.18
GND4002   345.38
GND2000   438.27
GGN2000   481.20
GPN2000   665.37
GHN400A   320.32
GND4008   357.37
GGN4004   376.28
GPN4006   474.94
GNN4004   474.48
GHN4009   411.16
GNN4007   460.27
GGN4003   474.94
GPN4002   558.10
GHN400B   411.16
GHH4008   329.09
GHN400F   367.50
GGH4006   384.02
GPH4006   481.21
GNN3000   477.66
GHN3000   366.95
GHN4003   310.18
GND4004   345.38
GGN4000   367.50
GPN4000   468.02
GND3000   435.64
GGN3003   463.37
GPN3002   611.96
GNN4003   460.27
GHN4006   367.50
GND4003   429.00
GGN4002   447.91
GPN4005   572.14
GHD3003   240.24
GGH3008   277.62
GPH3008   390.66
GHH4006   275.93
GHN3002   366.95
GGH3007   390.66
GPH3007   507.05
GHN400C   367.50
GHH3001   260.81
GGH3006   291.83
GPH3004   400.36
GHH2000   233.81
GHD3002   213.73
GGH3001   260.81
GPH3001   379.66
GHH4002   260.40
GHD4002   244.81
GHD2000   215.33
GGH2000   267.46
GPH2000   497.52
GHD4005   263.81
GGH4005   292.47
GPH4005   384.02
GHH4004   329.09
GHN4007   367.50
GGH4002   384.02
GPH4002   481.21
GHH4005   289.05
GHH4007   279.34
GGH4003   303.84
GPH4003   390.95
GHH3000   260.81
GHD4003   244.81
GGH4000   279.34
GPH4000   376.28
GHD3000   247.57
GGH3004   284.95
GPH3002   474.37
GHH4003   279.34
GHD4004   268.62
GGH4004   297.28
GPH4004   455.65
GDO3000   176.35
GAO3000   213.73
GGO3000   240.24
GPO3001   366.95
GKO4003   216.90
GNK4008   298.20
GHK4009   241.40
GKO4001   182.37
GDK4005   220.31
GND3001   333.54
GAN3000   351.93
GGN3000   366.95
GPN3001   488.66
GNK4003   298.20
GNN4000   394.64
GHN4005   310.18
GND4001   345.38
GHD3001   213.73
GAH3000   240.24
GGH3000   260.81
GPH3000   379.66
GHK4003   241.40
GHN4000   310.18
GHH4000   260.40
GHD4000   244.81
GO02000    92.32
GN02000   307.08
GH02000   163.06
GD03000   112.46
GA03000   176.35
GG03000   213.73
GP03000   351.93
GKO4002   182.37
GNK4002   283.53
GHK4002   216.90
GK04000   123.34
GDK4001   185.78
GC02000    -2.90
GD02000   103.20
GA02000   173.95
GG02000   215.33
GP02000   461.90
GNK4007   298.20
GHK4006   241.40
GDK4003   220.31
GAK4003   244.81
GGK4003   263.81
GPK4003   367.50
GNK4004   298.20
GNN4001   394.64
GHN4002   310.18
GNK4001   283.53
GND4000   345.38
GAN4001   357.37
GGN4001   367.50
GPN4001   468.02
GHK4004   241.40
GHN4001   310.18
GHH4001   260.40
GHK4001   216.90
GHD4001   244.81
GAH4001   263.81
GGH4001   279.34
GPH4001   376.28
GKO3000   176.35
GNK3000   333.54
GHK3000   213.73
GKO4000   182.37
GNK4000   283.53
GHK4000   216.90
GDK4000   185.78
GAK4000   220.31
GGK4000   244.81
GPK4000   357.37
GDK3000   183.68
GAK3000   221.06
GGK3000   247.57
GPK3000   450.67
GKK4001   220.31
GNK4006   345.38
GHK4005   244.81
GKK4000   185.78
GDK4002   225.12
GAK4002   249.62
GGK4002   268.62
GPK4002   439.13
GDD3002   221.06
GND3004   435.64
GHD3004   247.57
GDD3001   183.68
GDD4000   225.12
GDD2000   192.55
GND4005   429.00
GDD3000   233.59
GDD4001   257.84
GAN3005   366.95
GAH3007   260.81
GAD3002   247.57
GAA3004   268.14
GAG3004   284.95
GPA3004   474.37
GAN4004   367.50
GAH4005   279.34
GAD4002   268.62
GAN3003   488.66
GAH3006   379.66
GAN3002   450.67
GAA3002   463.37
GAG3002   474.37
GPA3002   620.64
GAN4003   468.02
GAH4002   376.28
GAN4005   439.13
GAH3003   379.66
GAH3005   277.62
GAH3002   268.14
GAA3001   284.95
GAG3001   299.16
GPA3001   484.08
GAH4006   376.28
GAH4003   292.47
GAH4007   284.15
GAN2000   461.90
GAH2000   244.69
GAN3001   351.93
GAH3001   240.24
GAD3000   221.06
GAA3000   247.57
GAG3000   268.14
GPA3000   463.37
GAN4000   357.37
GAH4000   263.81
GAD4000   249.62
GAD2000   233.93
GAA2000   263.30
GAG2000   286.07
GPA2000   714.17
GAN3004   450.67
GAH3004   268.14
GAD3001   260.10
GAA3003   280.67
GAG3003   297.48
GPA3003   654.41
GAN4002   439.13
GAH4004   284.15
GAD4001   276.84
GGD3002   268.14
GGG3004   299.16
GPG3004   484.08
GGD4002   284.15
GGN3005   463.37
GGG3002   484.08
GPG3002   628.49
GGN4005   447.91
GGH3003   284.95
GGG3001   311.46
GPG3001   492.76
GGH4007   297.28
GGD3000   247.57
GGG3000   284.95
GPG3000   474.37
GGD4000   268.62
GGD2000   263.30
GGD3001   280.67
GGG3003   311.69
GPG3003   664.11
GGD4001   292.37
GPD3002   463.37
GPP3004   628.49
GPD4002   447.91
GPN3003   611.96
GPP3001   791.79
GPN4003   572.14
GPH3005   474.37
GPP3002   635.66
GPH4007   455.65
GPD3000   450.67
GPP3000   620.64
GPD4000   439.13
GPD2000   697.85
GPD3001   643.40
GPP3003     0.00
GPD4001   601.97
END 
